Date,Forecasted_price
2014-12-29,48516.71
2015-01-05,48443.22
2015-01-12,48554.83
2015-01-19,48589.21
2015-01-26,47267.34
2015-02-02,45937.36
2015-02-09,45143.0
2015-02-16,44738.57
2015-02-23,44102.4
2015-03-02,44338.68
2015-03-09,44230.52
2015-03-16,44391.62
2015-03-23,43440.63
2015-03-30,42958.62
2015-04-06,43090.3
2015-04-13,43756.52
2015-04-20,44799.27
2015-04-27,44851.42
2015-05-04,44425.18
2015-05-11,44072.27
2015-05-18,43960.52
2015-05-25,44163.88
2015-06-01,43857.68
2015-06-08,42167.5
2015-06-15,40760.72
2015-06-22,40951.14
2015-06-29,42283.55
2015-07-06,42433.19
2015-07-13,43168.27
2015-07-20,42926.86
2015-07-27,43030.43
2015-08-03,42831.42
2015-08-10,42496.88
2015-08-17,42568.72
2015-08-24,42055.15
2015-08-31,42597.47
