Date,Actual,Forecasted_price
2015-01-05,45679.0,48452.96
2015-01-12,42767.0,48376.28
2015-01-19,41756.0,48491.05
2015-01-26,40240.0,48515.43
2015-02-02,41199.0,47205.96
2015-02-09,41263.0,45853.13
2015-02-16,41863.0,45041.52
2015-02-23,42162.5,44629.91
2015-03-02,42585.0,44062.71
2015-03-09,42293.0,44302.07
2015-03-16,42275.0,44202.16
2015-03-23,43572.0,44363.76
2015-03-30,43575.0,43430.02
2015-04-06,43593.0,42943.67
2015-04-13,43589.0,43077.13
2015-04-20,43714.0,43755.39
2015-04-27,44420.0,44808.79
2015-05-04,45950.0,44861.35
2015-05-11,45979.0,44431.18
2015-05-18,45579.0,44078.23
2015-05-25,44620.0,43975.36
2015-06-01,43740.0,44185.69
2015-06-08,43480.0,43882.84
2015-06-15,42456.0,42190.79
2015-06-22,42386.0,40767.55
2015-06-29,42739.0,40957.4
2015-07-06,41353.0,42291.41
2015-07-13,41129.0,42441.22
2015-07-20,40055.0,43173.09
2015-07-27,39308.0,42932.89
2015-08-03,38590.0,43037.37
2015-08-10,39225.0,42837.18
2015-08-17,39051.0,42478.82
2015-08-24,39134.0,42546.86
2015-08-31,39329.0,42031.02
2015-09-07,40399.0,42577.63
2015-09-14,40934.0,42225.65
2015-09-21,39478.0,43414.27
2015-09-28,38496.5,42379.33
2015-10-05,39264.0,42383.47
2015-10-12,39996.0,40818.44
2015-10-19,39339.0,40408.9
2015-10-26,39036.0,39674.55
2015-11-02,38572.0,40304.57
2015-11-09,37450.0,41067.76
2015-11-16,35234.0,40643.09
2015-11-23,34435.0,40358.89
2015-11-30,35126.0,39619.33
2015-12-07,35274.0,38807.96
2015-12-14,35832.0,38078.14
2015-12-21,36200.0,38185.86
2015-12-28,36363.0,38183.67
2016-01-04,36178.0,37582.67
2016-01-11,35046.0,37579.42
2016-01-18,34969.0,37726.17
2016-01-25,35236.0,37235.69
2016-02-01,35518.0,36249.52
2016-02-08,35742.5,35203.78
2016-02-15,35446.0,35013.02
2016-02-22,35813.0,35614.98
2016-02-29,36251.0,35260.05
2016-03-07,37161.0,35123.07
2016-03-14,37478.0,34942.89
2016-03-21,37766.0,34942.89
2016-03-28,37260.0,36032.38
2016-04-04,36565.0,36032.38
2016-04-11,36540.0,36032.38
2016-04-18,37214.0,36032.38
2016-04-25,37524.0,36404.16
2016-05-02,37052.0,36404.16
2016-05-09,35812.0,36404.16
2016-05-16,35558.0,36404.16
2016-05-23,35574.0,36350.19
2016-05-30,35658.0,37055.85
2016-06-06,35874.0,36682.87
2016-06-13,35618.0,36350.19
2016-06-20,36064.0,36220.44
2016-06-27,37134.0,36220.44
2016-07-04,37448.0,36220.44
2016-07-11,37792.0,36220.44
2016-07-18,38274.0,36334.0
2016-07-25,37916.0,36334.0
2016-08-01,37840.0,36334.0
2016-08-08,37466.0,36334.0
2016-08-15,37208.0,36490.66
2016-08-22,36752.0,36490.66
2016-08-29,36500.0,36490.66
2016-09-05,36748.0,36490.66
2016-09-12,36812.0,36490.88
2016-09-19,37488.0,36490.88
2016-09-26,37834.0,36490.88
2016-10-03,37820.0,36490.88
2016-10-10,37964.0,36581.16
2016-10-17,37454.0,36581.16
2016-10-24,38120.0,36581.16
2016-10-31,38918.0,36581.16
2016-11-07,42342.0,36701.63
2016-11-14,44880.0,36701.63
2016-11-21,46362.0,36701.63
2016-11-28,47092.0,36701.63
2016-12-05,47162.0,41629.26
2016-12-12,46768.0,41415.2
2016-12-19,45008.0,41154.0
2016-12-26,44638.0,40779.25
2017-01-02,45320.0,43900.3
2017-01-09,46388.0,43757.72
2017-01-16,46780.0,43908.09
2017-01-23,47208.33,44208.05
2017-01-30,46986.67,46500.5
2017-02-06,46880.0,46943.42
2017-02-13,48976.0,46856.55
2017-02-20,48254.0,47276.5
2017-02-27,47840.0,47765.99
2017-03-06,47010.0,47441.88
2017-03-13,47188.0,47425.52
2017-03-20,46900.0,47478.5
2017-03-27,46826.0,47615.33
2017-04-03,47356.0,47457.95
2017-04-10,46430.0,47525.73
2017-04-17,46024.0,47193.83
2017-04-24,46094.0,47262.96
2017-05-01,46159.0,47510.72
2017-05-08,44956.0,47446.05
2017-05-15,45146.0,47390.74
2017-05-22,45808.0,46556.01
2017-05-29,45478.0,46529.52
2017-06-05,45238.0,46563.8
2017-06-12,45760.0,46623.79
2017-06-19,45624.0,46205.73
2017-06-26,46712.0,46314.81
2017-07-03,46960.0,46063.16
2017-07-10,46900.0,46083.41
2017-07-17,47558.0,45476.39
2017-07-24,49028.0,44845.3
2017-07-31,50188.0,44783.75
2017-08-07,50360.0,45004.24
2017-08-14,50354.0,45126.2
2017-08-21,51438.0,45368.51
2017-08-28,52592.0,45222.81
2017-09-04,53060.0,44711.71
2017-09-11,51014.0,46503.71
2017-09-18,50476.0,46377.49
2017-09-25,50758.0,46212.32
2017-10-02,51990.0,46380.61
2017-10-09,53014.0,47556.73
2017-10-16,54944.0,46515.83
2017-10-23,55334.0,45953.31
2017-10-30,54186.0,46970.84
2017-11-06,53982.0,51271.5
2017-11-13,53226.0,52524.31
2017-11-20,53540.0,53191.23
2017-11-27,53264.0,51971.14
2017-12-04,52184.0,51828.89
2017-12-11,52126.0,51387.91
2017-12-18,53596.0,50417.14
2017-12-25,54754.0,49853.06
2018-01-01,54753.0,51059.57
2018-01-08,54506.0,50782.21
2018-01-15,53906.0,51586.25
2018-01-22,53272.0,51829.34
2018-01-29,53004.0,52532.18
2018-02-05,52236.0,52449.59
2018-02-12,51961.0,51927.59
2018-02-19,52440.0,51795.14
2018-02-26,52462.0,52305.27
2018-03-05,51700.0,52381.62
2018-03-12,51562.0,52194.64
2018-03-19,50624.0,53031.41
2018-03-26,49362.0,54333.8
2018-04-02,50484.0,54054.88
2018-04-09,50818.0,53967.61
2018-04-16,51174.0,51968.41
2018-04-23,51752.0,49312.71
2018-04-30,50988.0,49722.53
2018-05-07,50994.0,50391.0
2018-05-14,50996.0,51656.29
2018-05-21,51340.0,51210.62
2018-05-28,51242.0,50001.43
2018-06-04,52704.0,49736.54
2018-06-11,53422.0,49110.12
2018-06-18,52008.0,48804.0
2018-06-25,51346.0,48063.84
2018-07-02,50340.0,48486.12
2018-07-09,48930.0,48786.86
2018-07-16,48664.0,48046.1
2018-07-23,49570.0,48092.85
2018-07-30,49614.0,47090.91
2018-08-06,49510.0,45461.0
2018-08-13,48824.0,45258.06
2018-08-20,48562.0,45876.68
2018-08-27,48792.0,45653.85
2018-09-03,48081.0,45836.16
2018-09-10,48228.0,47074.84
2018-09-17,49424.0,47395.84
2018-09-24,50431.0,46917.46
2018-10-01,50300.0,45984.08
2018-10-08,50520.0,47982.87
2018-10-15,50406.0,48665.38
2018-10-22,50132.0,49146.87
2018-10-29,49364.0,48959.1
2018-11-05,49670.0,50105.96
2018-11-12,49166.0,50621.73
2018-11-19,49732.0,50278.92
2018-11-26,49520.0,50458.12
2018-12-03,49770.0,50870.96
2018-12-10,49344.0,50855.38
2018-12-17,48678.0,51015.88
2018-12-24,48254.0,50961.34
2018-12-31,47740.0,51174.74
2019-01-07,47486.0,51855.69
2019-01-14,47398.0,51282.26
2019-01-21,47456.0,51153.71
2019-01-28,47682.0,50422.59
2019-02-04,47970.0,50273.78
2019-02-11,48098.0,50110.17
2019-02-18,49184.0,49664.52
2019-02-25,49950.0,49218.89
2019-03-04,50018.0,48532.49
2019-03-11,49788.0,49052.16
2019-03-18,50146.0,49147.99
2019-03-25,49444.0,49184.64
2019-04-01,49367.0,48800.54
2019-04-08,49346.0,48515.38
2019-04-15,49540.0,48799.76
2019-04-22,49214.0,48118.1
2019-04-29,48688.0,48375.21
2019-05-06,48046.0,48366.64
2019-05-13,47754.0,48689.19
2019-05-20,47414.0,48344.82
2019-05-27,46968.0,48335.47
2019-06-03,46328.0,47998.12
2019-06-10,46570.0,47617.91
2019-06-17,46680.0,47774.57
2019-06-24,47100.0,47875.85
2019-07-01,46722.0,48136.08
2019-07-08,46261.0,48279.43
2019-07-15,47072.0,48266.21
2019-07-22,47250.0,49025.07
2019-07-29,46900.0,48951.05
2019-08-05,46334.0,48472.68
2019-08-12,46566.0,48600.57
2019-08-19,46506.0,48070.78
2019-08-26,46528.0,47484.89
2019-09-02,46868.0,46875.62
2019-09-09,47486.0,46260.41
2019-09-16,47586.0,45994.73
2019-09-23,47238.0,46759.04
2019-09-30,47246.67,46286.12
2019-10-07,47013.33,46793.4
2019-10-14,46950.0,46919.62
2019-10-21,47260.0,46157.64
2019-10-28,47326.0,46224.65
2019-11-04,47272.0,46026.84
2019-11-11,47121.0,45726.11
2019-11-18,47094.0,46714.02
2019-11-25,47324.0,47225.12
2019-12-02,47318.0,47667.67
2019-12-09,48676.0,47547.69
2019-12-16,48988.0,47754.93
2019-12-23,49188.0,48897.11
2019-12-30,49133.0,47786.08
2020-01-06,48790.0,48713.22
2020-01-13,48966.0,48428.07
2020-01-20,48292.0,48669.59
2020-01-27,46380.0,48678.95
2020-02-03,45406.0,48987.47
2020-02-10,45492.0,49380.14
2020-02-17,46002.0,50051.74
2020-02-24,45338.0,48385.98
2020-03-02,45010.0,47801.64
2020-03-09,43594.0,48293.27
2020-03-16,40596.0,48248.86
2020-03-23,38284.0,45943.5
2020-03-30,39392.0,45423.05
2020-04-06,40843.0,44054.14
2020-04-13,42036.0,41815.75
2020-04-20,42024.0,40987.63
2020-04-27,42911.0,42669.35
2020-05-04,43131.0,43218.43
2020-05-11,43538.0,43319.52
2020-05-18,43992.0,43839.8
2020-05-25,44104.0,44142.29
2020-06-01,44970.0,44396.67
2020-06-08,46702.0,44328.89
2020-06-15,47128.0,45324.62
2020-06-22,48230.0,45467.59
2020-06-29,49264.0,46061.66
2020-07-06,50040.0,46998.55
2020-07-13,52242.0,48580.21
2020-07-20,51994.0,48954.96
2020-07-27,51914.0,49306.34
2020-08-03,51450.0,49464.5
2020-08-10,50384.0,51138.11
2020-08-17,51682.0,50422.88
2020-08-24,51526.0,49989.69
2020-08-31,52026.0,50323.15
2020-09-07,52258.0,50566.23
2020-09-14,52140.0,51647.64
2020-09-21,51604.0,51303.27
2020-09-28,51247.71,51326.64
2020-10-05,51504.29,51870.46
2020-10-12,51626.0,51092.91
2020-10-19,52038.0,51591.54
2020-10-26,51726.0,51161.47
2020-11-02,51620.0,51122.51
2020-11-09,52124.0,51049.27
2020-11-16,53216.0,52108.87
2020-11-23,54890.0,52593.48
2020-11-30,57448.0,52538.96
2020-12-07,57418.0,53156.02
2020-12-14,58154.0,53586.09
2020-12-21,58320.0,54930.84
2020-12-28,58336.0,57254.09
