Date,Actual,Predict
2019-03-11,49788.0,47143.848
2019-03-18,50146.0,47358.883
2019-03-25,49444.0,47849.723
2019-04-01,49367.0,47902.703
2019-04-08,49346.0,48127.09
2019-04-15,49540.0,48387.312
2019-04-22,49214.0,48405.234
2019-04-29,48688.0,48433.28
2019-05-06,48046.0,48526.773
2019-05-13,47754.0,48407.57
2019-05-20,47414.0,48669.35
2019-05-27,46968.0,48633.51
2019-06-03,46328.0,48349.137
2019-06-10,46570.0,47930.754
2019-06-17,46680.0,47721.95
2019-06-24,47100.0,47364.336
2019-07-01,46722.0,47184.363
2019-07-08,46261.0,46929.59
2019-07-15,47072.0,46708.324
2019-07-22,47250.0,46793.246
2019-07-29,46900.0,46864.145
2019-08-05,46334.0,46740.266
2019-08-12,46566.0,47086.19
2019-08-19,46506.0,47215.527
2019-08-26,46528.0,47108.008
2019-09-02,46868.0,46832.203
2019-09-09,47486.0,46529.906
2019-09-16,47586.0,46223.715
2019-09-23,47238.0,45836.496
2019-09-30,47246.67,45809.227
2019-10-07,47013.33,46145.805
2019-10-14,46950.0,46281.367
2019-10-21,47260.0,46125.547
2019-10-28,47326.0,46330.453
2019-11-04,47272.0,46178.527
2019-11-11,47121.0,45926.87
2019-11-18,47094.0,46147.36
2019-11-25,47324.0,46292.277
2019-12-02,47318.0,46604.7
2019-12-09,48676.0,46522.113
2019-12-16,48988.0,46428.62
2019-12-23,49188.0,46528.348
2019-12-30,49133.0,45887.918
2020-01-06,48790.0,46162.164
2020-01-13,48966.0,46177.746
2020-01-20,48292.0,46886.74
2020-01-27,46380.0,47083.855
2020-02-03,45406.0,47393.164
2020-02-10,45492.0,47491.332
2020-02-17,46002.0,47409.523
2020-02-24,45338.0,46691.184
2020-03-02,45010.0,45928.43
2020-03-09,43594.0,45815.457
2020-03-16,40596.0,45270.08
2020-03-23,38284.0,45002.062
2020-03-30,39392.0,44630.426
2020-04-06,40843.0,44173.867
2020-04-13,42036.0,42893.78
2020-04-20,42024.0,40708.367
2020-04-27,42911.0,39806.152
2020-05-04,43131.0,39598.715
2020-05-11,43538.0,40536.184
2020-05-18,43992.0,40208.957
2020-05-25,44104.0,40478.527
2020-06-01,44970.0,40637.08
2020-06-08,46702.0,40767.19
2020-06-15,47128.0,41202.715
2020-06-22,48230.0,41156.746
2020-06-29,49264.0,41573.574
2020-07-06,50040.0,42490.2
2020-07-13,52242.0,42966.24
2020-07-20,51994.0,44348.387
2020-07-27,51914.0,44716.906
2020-08-03,51450.0,44790.145
2020-08-10,50384.0,45309.035
2020-08-17,51682.00000000001,45834.156
2020-08-24,51526.00000000001,46272.02
2020-08-31,52026.00000000001,46487.055
2020-09-07,52258.0,46296.95
2020-09-14,52139.99999999999,46571.2
2020-09-21,51604.0,46449.656
2020-09-28,51247.71,46156.71
2020-10-05,51504.29000000001,52257.61
2020-10-12,51626.0,52097.89
2020-10-19,52038.0,51815.17
2020-10-26,51726.0,46060.1
2020-11-02,51620.0,46072.566
2020-11-09,52124.0,45848.18
2020-11-16,53216.0,45673.66
2020-11-23,54890.0,45265.402
2020-11-30,57448.0,45268.52
2020-12-07,57418.0,45472.65
2020-12-14,58154.00000000001,45887.137
2020-12-21,58320.0,46580.547
2020-12-28,58336.0,51876.137
